,User,Date Created,Number of Likes,Source of Tweet,Tweet
29,SunnyDaze74,2022-11-29 01:49:18+00:00,0,Twitter for iPhone,@elonmusk BOYCOTT @Apple  if they do NOT support FREE SPEECH and WE THE PEOPLE! #boycottapple🚫🍎 #freespeech #thankyouelonmusk
30,AmbroseBacchus,2022-11-29 00:20:16+00:00,0,Twitter Web App,"@elonmusk Steve Wozniak used to date Kathy Griffin. Which reminds me, why don't they make Segways with muffin trays attached? #SteveWozniak #KathyGriffin #muffins, #thankyouelonmusk #Segway #Apple #rottenApple #Wokeness #jealousy #theanswerisjealousy"
31,AmbroseBacchus,2022-11-28 23:58:08+00:00,2,Twitter Web App,"I got banned for thanking Joe Biden for representing the mentally impaired/retarded community. I SAID THANK YOU. I'm back and I'm squeezing my grapes in excitement. #JoeBiden #joebidenisretarded, #thankyouelonmusk  #Immortality #TwitterTakeover #fuckyes, #Bacchus, #alyssamilano"
32,BigTasty999,2022-11-28 23:21:42+00:00,0,Twitter for Android,"@elonmusk funny how Washington doesn't mention the 10k Amazon employees to be let go, or the more than 11k from Facebook let go.  But it really chaps their bottoms that you let go 3k. #Twitter #FightTheFight #NoMoreCensorship #thankyouelonmusk"
33,CallMeChris921,2022-11-28 21:51:10+00:00,0,Twitter Web App,"Tell @tim_cook, threatening Twitter got me to join Twitter, after years of refusing to join.

#ThankYouElonMusk🚀"
34,LJT_is_me,2022-11-28 21:33:51+00:00,0,Twitter Web App,"@Apple is upset @elonmusk removed child porn from @Twitter.  Twitter is a better place without child predators.

#ThankYouElonMusk"
35,supermumrik,2022-11-28 21:15:02+00:00,1,Twitter Web App,"@elonmusk #thankyouelonmusk 
Thank you so much, Elon. You're a honest guy."
36,steveMmattison,2022-11-28 19:52:58+00:00,0,Twitter Web App,"@nichegamer Starlink internet &amp; Tesla Phone will solve a LOT of the fraudulent problems in the world &amp; allow The People's voice to be factually heard &amp; obeyed. #thankyouelonmusk 
Vox Populi, Vox Dei"
37,thepepperedchef,2022-11-28 19:50:11+00:00,0,Twitter Web App,@jimcramer who has nearly 2 million followers getting ratio'd daily is my favorite thing on #Twitter. #thankyouelonmusk
38,steveMmattison,2022-11-28 14:49:07+00:00,0,Twitter Web App,@bevedoni @elonmusk Leading us all! #goelon #thankyouelon #thankyouelonmusk
