,User,Date Created,Language,Number of Likes,Source of Tweet,Tweet
45,fametouchosas,2022-04-26 03:35:20+00:00,en,0,Twitter for Android,#ElonMuskTakeover Sweet @elonmusk Thank you
46,jelmerpott,2022-04-26 03:21:41+00:00,en,0,Twitter for Android,#istopwithtwitter. #ElonMuskTakeOver is not good for the society. This is my last tweet. #iquit
47,dimbiddy,2022-04-25 21:51:01+00:00,en,0,Twitter for iPad,"Within hours of #ElonMuskTakeOver as he says to allow ‘free’ speech, dozens of tweets appear rejoicing over how now ‘lefties’ &amp; homosexuals will be banned from Twitter &amp; how Trump, liars &amp; right-wing bigots will be back &amp; ‘free’ to spew their lies &amp; hate speech
  #TwitterTakeover"
48,Mrs_Cldh,2022-04-25 19:34:30+00:00,en,0,Twitter for iPhone,@kaivalya_13 @jack It’s official Elon Musk acquires Twitter. #ElonMusk #ElonMuskTakeOver Glad this cycle of news has been confirmed. Now What? https://t.co/XXBrd7zQhS
49,sellers4400,2022-04-25 19:23:06+00:00,en,0,Twitter for Android,"If Twitter allows political lies, hate speech and insurrection groups or individuals to post, I'm  done. #ElonMuskTakeover"
50,HabibCham,2022-04-25 19:07:25+00:00,en,1,Twitter for iPhone,Oh how I sometimes love a Twitter outrage… on Twitter. #ElonMuskTakeOver
51,dellyranksindia,2022-04-18 12:30:13+00:00,en,0,FS_Poster_App,"Jack Dorsey slams Twitter board amid Elon Musk takeover push #elonmusk #ElonMusktakeover #ElonMusktakeoveroffer #JackDorsey #Twitter https://t.co/SSK3ywXepA
https://t.co/NbU0FFAyBu"
52,moved2italy2,2022-04-15 21:11:32+00:00,en,12,Twitter for Android,"The Kid's 3 questions on the possible #ElonMuskTakeover of #Twitter;

1. Who knew a Saudi Prince owned 4%? 🤨
2. Is he serious or just trying to play with markets again?
3. Is Twitter a non inclusive platform or does it just create echo chambers? https://t.co/J9PErlFbk6"
53,Merton_G3,2022-04-15 18:04:11+00:00,en,0,Twitter for Android,"Well good!!! Smart move!

#Twitter adopts ‘#PoisonPill’ plan to shield itself from #ElonMuskTakeover

The social media company adopted a shareholder rights plan to protect itself from the billionaire’s bid

https://t.co/nXzXhhyrzQ"
54,dellyranksindia,2022-04-15 17:12:10+00:00,en,0,FS_Poster_App,"Twitter adopts ‘Poison Pill’ to block Elon Musk takeover #elonmusk #ElonMuskstake #ElonMusktakeover #PoisonPill #Twitter https://t.co/JcAPVPgA7u
https://t.co/7zvKRalMGE"
