,User,Date Created,Language,Number of Likes,Source of Tweet,Tweet
7955,stephenpglenn,2012-01-29 14:31:01+00:00,en,0,TweetDeck,Again delayed 24 hours due to #TwitterBlackout...Kuyt puts Liverpool into the lead and surely into the next round #LFC #FACup
7956,NCACnews,2012-01-29 14:28:52+00:00,en,0,Twitter Web Client,memo to self: must be more aware of next #twitterblackout & support action. No to e-censorship!
7957,_joyceeey,2012-01-29 14:28:27+00:00,en,0,Twitter for BlackBerry®,Whoop! I actually made it through the #twitterblackout . I didn't tweet all day yesterday &lt;3
7958,AmyDenim,2012-01-29 14:28:01+00:00,en,0,TweetDeck,I'm back after the #twitterblackout and I have a doozy for my first tweet
7959,NCACnews,2012-01-29 14:24:44+00:00,en,0,Twitter Web Client,@OccupyNorwich #twitterblackout profound apologies if it included ncac only excuse is tiredness as tweeting is always late pm & half asleep!
7960,AMentalFracture,2012-01-29 14:24:24+00:00,en,0,TweetDeck,"@RDHMelissa @jaxxepps i didn't get this tweet yesterday because of the #TwitterBlackout, BUT SOMEONE SHOULD HAVE TEXTED ME! #breakfast"
7961,AMentalFracture,2012-01-29 14:23:03+00:00,en,0,TweetDeck,"during my #TwitterBlackout yesterday, i scoured public domain music sites for some decent podcast intro music ... i had a headache all day."
7962,npbat,2012-01-29 14:19:38+00:00,en,0,Twitter Web Client,Was interesting being off twitter yesterday. I hope twitter got the message. No censorship! #twitterblackout
7963,guru_EunjiWon,2012-01-29 14:18:50+00:00,en,0,Twitter for iPhone,"Problematic twits were ""erased"" without knowing it. Should know that existing policies of Twitter was also problematic. #TwitterBlackout"
7964,JoWithTheeGlo,2012-01-29 14:17:03+00:00,en,0,Twitter for Android,"I'm so proud of myself , I didn't tweet for a whole 24 hours for the #TwitterBlackout. :D"
7965,the_man_mulcahy,2012-01-29 14:16:43+00:00,en,0,Twitter for BlackBerry®,Back from the #twitterblackout yesterday. Guess not as many people protested twitter censorship as I thought!
7966,ecbLD,2012-01-29 14:09:54+00:00,en,0,Twitter Web Client,#TwitterBlackout . . . think about . . .
