,User,Date Created,Language,Number of Likes,Source of Tweet,Tweet
0,KathJohnsonArt,2022-11-25 12:32:04+00:00,en,1,Twitter for iPhone,I marked #TwitterBlackout on my calendar for today?
1,TheMrEstiverne,2022-11-24 23:29:01+00:00,en,0,Twitter for iPhone,"When the man said he was going to do something, I believed him, and since day One, I’ve signed up with @fanbaseapp I’ve never been disappointed. People need to go check out Fanbase, if not, you’re missing out. #TwitterBlackOut"
2,colourmesadder,2022-11-23 04:50:04+00:00,en,13,Twitter for iPhone,We should do a Twitter blackout to own the libs #twitterblackout
3,SiljaJATalvi,2022-11-22 13:25:47+00:00,en,0,Twitter for iPhone,"@W_Asherah I predicted as much. The hate will seep at first, and then it will flood. Join me using December 1 as #TwitterBlackout day (for those of us still here protesting.) No posting, reading, nothing. After that, make any decision you want. A racist platform can’t be supported."
4,idesancho,2022-11-19 18:15:34+00:00,en,0,Twitter Web App,Come on. Let’s help the #Twitterblackout with a collective massive disconnection of accounts by #1december We can all help making Twitter go belly up!! 🥸 or maybe Elon and his buttkissers ban me first? I kind of like to die fighting for a good cause.
5,Machine_s_job,2022-11-18 23:56:21+00:00,en,0,Twitter for Android,"#TwitterOFF
#TwitterBlackout

1 Buy data
2 Blackout systems
3 Merge new software  &amp; parameters
4 Rename
5 Restore services

#Soon"
6,rachellm23,2022-11-18 12:06:20+00:00,en,2,Twitter for iPhone,lovely 11 years x  #TwitterDown #TwitterBlackout https://t.co/pYdrUYI3C0
7,HelloVado,2022-11-18 09:23:00+00:00,en,0,Twitter Web App,"i could relate to elon if he did a #TwitterBlackout to show everyone how important twitter is to the world and make the community appreciate the space and environment they have to share their expression and creativity.

yeah, i could relate. #HSBlackout"
8,pnf_phytrade,2022-11-18 03:29:40+00:00,en,0,Twitter for iPhone,"The ending is so spooky! 

#TwitterBlackout"
9,david_piland,2022-11-12 16:58:02+00:00,en,0,Twitter for Android,@draiochta14 I've actually proposed a day of Twitter blackout to protest what Elon and others are doing I realize it might take millions of followers but #twitterblackout could be a thing
10,Chaosinflux,2022-11-11 22:17:53+00:00,en,0,Twitter for Android,A one day Twitter blackout sounds fun. #TwitterBlackout
11,idontgethowthis,2022-11-11 03:55:06+00:00,en,2,Twitter Web App,"@peevee55 @HeatherThomasAF @keepthefaith611 It would be nice to have a 24 hour boycott.

Just to see if we could do it. Total shut down.  No tweets.  We just need a good day and someone with some Moxie that can get people motivated.

#TwitterBlackout"
12,david_piland,2022-11-11 02:16:50+00:00,en,1,Twitter Web App,Touch some grass. #TwitterBlackout
13,OhFFS100,2022-11-11 02:07:11+00:00,en,4,Twitter for iPhone,@MichelleSedill2 @david_piland @RpsAgainstTrump Touch some grass. #TwitterBlackout
14,MichelleSedill2,2022-11-11 01:51:48+00:00,en,21,Twitter for iPhone,@david_piland @RpsAgainstTrump This is a great idea #TwitterBlackout
15,JohnnyAkzam,2022-11-07 07:23:04+00:00,en,2,Twitter Web App,How are you going to spend the #TwitterBlackout? https://t.co/oRbYG4fACi
16,ArtistCathayD,2022-11-05 00:10:03+00:00,en,1,Twitter for iPhone,"The Day After Midterms
(NOV 9th)  is 
#TWITTERBLACKOUT Day . 

We must show Twitter that we will not tolerate HATE, ANTI-SEMITISM, &amp; RACISM on their platform! 

DEACTIVATE your account from 9AM-9PM.   #Retweet"
17,maritzac,2022-11-04 21:52:36+00:00,en,3,Twitter for iPhone,We should strike. One day without twitter. #TwitterBlackout
18,WestsideRedhead,2022-11-04 16:33:25+00:00,en,1,Twitter Web App,@elonmusk is most heartless boss ever. Worse than my worst when I was a teenage waitress in a Truck Stop. Proposing a #Twitter black out.  Anyone else know of a #TwitterBlackout planned? Yay @UTAW_uk
19,HansZauner,2022-11-04 10:46:21+00:00,en,3,Twitter Web App,@fMRI_guy Prediction: After #TwitterLayoffs there will be #twitterblackout.
20,Pinkgirlhaze1,2022-11-02 16:49:45+00:00,en,1,Twitter for iPad,@kozloski_mary I can definitely do it but would it be effective. #Twitterblackout
21,TavelnTilly,2022-11-02 15:28:15+00:00,en,1,Twitter for Android,@JRubinBlogger Someone had an interesting idea...let's have a #Twitterblackout on Black Friday  @ltgrusselhonore @womensmarch @davidhogg111
22,TavelnTilly,2022-11-02 15:22:02+00:00,en,1,Twitter for Android,@kozloski_mary Oh yes #twitterblackout
23,roxyw,2022-10-28 03:19:33+00:00,en,0,Twitter for iPad,"Is anyone talking about a blackout, day of no Tweets… just to show that we’re watching closely, and if this goes sideways then there’s no audience? #TwitterTakeover  #TwitterBlackout #Protest"
24,DonniesRichonne,2022-10-27 13:54:27+00:00,en,4,Twitter Web App,Okay so when are we all doing blackout week on Twitter? #twitterblackout
25,CaseyPregent1,2022-10-21 13:15:02+00:00,en,1,Twitter for Android,"If Musk buys Twitter and seriously fires 75% of the employees, my account will go black. 

I will not help Elon make money. Anyone know of any other social media platforms, besides parlor?

#Twitterblackout
#StopElon"
26,nucleus34,2022-09-05 01:29:56+00:00,en,0,Twitter Web App,"Get rid of the #Twitter #Bots
#TwitterBlackout"
27,nucleus34,2022-09-05 01:26:24+00:00,en,0,Twitter Web App,"Blacking out #Twitter until I notice most of the #Bots are completely gone 🥱
#TwitterBlackout"
28,kascnef82,2022-07-14 18:51:26+00:00,en,0,Twitter Web App,where were u during the #twitterblackout
29,SilentTiger777,2022-07-14 17:13:54+00:00,en,3,Twitter for iPhone,"I wonder how many high school kids with computer skills @elonmusk hired to #DDoS @Twitter because of his failed deal with them? 🤔💭🙄

Do you think he’s behind #Twitter being down? Or nah? 🧐💭 #TwitterDown #TwitterOutage #TwitterBlackout #InternetDown #TWICE 🤡🙄🫥🙄🫡🥴"
30,SilentTiger777,2022-07-14 13:45:31+00:00,en,2,Twitter for iPhone,"Bruh I just found a SCARY looking map on https://t.co/6qUuIlMZ1b

It literally looks like we’re in a nuclear cyberwar right now… The Japanese area keeps taking the most hits. #TwitterDown #TwitterBlackout #InternetDown #InternetBlackout"
31,Tamuno_Jorge,2022-07-14 12:47:18+00:00,en,1,Twitter for Android,"Omo I don use all my VPN...
Download 10 new ones 
Thought my account was suspended
Only to realise Twitter had a blackout
#Twitterblackout

But una sure sey this blackout no get anything to do with Peter Obi audience and influence online...?

Just thinking out loud https://t.co/sOimzfAdo2"
32,LPSimcox,2022-07-14 12:44:34+00:00,en,0,Twitter for Android,We're back online! #TwitterBlackout
33,TeeDotYankee,2022-05-14 01:02:56+00:00,en,0,Twitter for iPhone,"The Bronx Globetrotters 

#Yankees 
#TwitterBlackout"
34,kkmcc25,2022-05-10 18:28:38+00:00,en,0,Twitter for iPhone,@elonmusk @Rogozin EM maxed out credits cards to be the voice of the galaxy to reinstate Trump to the platform &amp; covertly promote right wing extremism. Can’t wait til it backfires on an epic scale. #Twitterblackout needed.
35,21dreamz,2022-04-26 03:00:33+00:00,en,0,Twitter for iPhone,I think with Elon Musk buying Twitter Democrats and the Left is essentially on notice… can you quit? Will you quit…for 1 week? Especially the influencers… how about a #NextWeekNoTweet #SilentProtest starting Sunday May 1 #MayDay #TwitterBlackout 😷 Ends Sat May 7
36,crizteeneeta,2022-04-25 14:41:31+00:00,en,11,Twitter for iPhone,"There should be a #TwitterBlackOut day where everyone just stays off Twitter for a whole day. No likes, tweets, retweets or responses… just complete silence… #FuckElon"
37,linkd_not_rankd,2022-04-16 01:00:03+00:00,en,1,Twitter for iPhone,Ppl should all do a #twitterblackout
38,TeeDotYankee,2022-02-26 01:24:30+00:00,en,0,Twitter for iPhone,That fight was spoiled for me ssooooooooo #TwitterBlackout
39,BlueWaterDays,2022-02-20 04:12:24+00:00,en,0,Twitter Web App,"Which do you prefer?
#TwitterBlackout
#TwitterShutout
#NoTwitter
#TwitterBoycott
#TwitterOFF"
40,BlueWaterDays,2022-02-20 04:10:54+00:00,en,2,Twitter Web App,If I knew the exact day of TruthSocial launch that would be a good day for #TwitterBlackout
41,BlueWaterDays,2022-02-20 04:08:20+00:00,en,9,Twitter Web App,"We need to have a #TwitterBlackout
An agreed upon day or week we do not login.
Make #TwitterBlackout trend!"
42,NunyaBusiness46,2022-02-11 18:47:25+00:00,en,1,Twitter for iPhone,"@Sassychickie There wasa #TwitterBlackout ? 

*sigh* I miss all the good stuff !!"
43,LewdQote,2021-12-08 16:00:01+00:00,en,2,Twitter Web App,"@alxandria treating Angel to Day 6 of ""End""walker. Looks like a tasty moon treat. #MoonDay6 #TwitterBlackout #ffxivnsfw #ffxivlewd #FullMoon #GPOSERS https://t.co/XFlh7cFswq"
44,LewdQote,2021-12-03 04:28:59+00:00,en,2,Twitter Web App,"Good night twitter. I have the next few days scheduled with posts for your enjoyment, but I will not be checking you. #TwitterBlackout  See you all on the other side of the EW MSQ!  Love you all and looking forward to new lewds."
45,shanedmcdonald,2021-12-01 20:22:18+00:00,en,0,Twitter for Android,"A good day @jordanbpeterson not expecting you to respond or openly acknowledge I just wanted you to see this and if you think it's a good idea please make it happen. If not that's fine too. I respect the wisdom of my seniors. 

#TwitterBlackOut"
46,shanedmcdonald,2021-12-01 07:19:59+00:00,en,0,Twitter for Android,"Here's an idea. Let's plan a #TwitterBlackOut, on a specific day for a planned period of time we log off all at once. Imagine coordinating like that. Imagine them learning we can stop if we want for as long as we want and most of all proving that to ourselves."
47,DTHawkinsMusic,2021-11-29 16:44:55+00:00,en,0,Twitter for Android,The new #CEO of @Twitter is a far worse #Bigot &amp; #Racist than #JackDorsey ever could be.. Way to go twitter replace the former jackass with a huge pile of 💩.. See Ya . this platform is a joke. #LetsGoBrandon #FJB. #TwitterCEO #BigTechFascism #TwitterBlackout
48,tamitao2,2021-11-09 20:13:54+00:00,en,1,Twitter for Android,I support a #twitterblackout day. Where we all refuse to tweet because they allow #PaulGosar 's tweet of violence to stand. We need to choose a day and show we mean business. They blocked me for saying a nearly convicted murderer should hang. But not threats from #RepPaulGosar
49,tamitao2,2021-11-09 20:10:53+00:00,en,0,Twitter for Android,@Carol64653456 @DrGJackBrown I support a day off twitter. Let them know we won't stand for them allowing violent threats to stay up on twitter. A day of blackout has worked before. What do you think? Choose a day and I will do it. #twitterblackout
50,PCampbellBaylor,2021-11-01 13:29:56+00:00,en,1,Twitter for Android,Got on the elliptical to get some cardio and check the Twits for a few minutes. I looked up and 37 minutes had past.  #Twitter #Twitterblind #TwitterMissingTime #TwitterBlackout Though my amazing jams might have enabled. https://t.co/AfI1ElYc8k
51,TeeDotYankee,2021-09-29 00:35:42+00:00,en,0,Twitter for iPhone,Ok ok #TwitterBlackout time fuuuuuu
52,PinkFloydKitty,2021-09-24 19:17:03+00:00,en,0,Twitter for iPhone,"@stoolpresidente Hey Dave, why do you have a black cover? #TwitterBlackout ??? 🤔"
53,DontCallMeDebby,2021-09-20 18:55:02+00:00,en,1,Twitter Web App,Apologizing in advance if I tweet the same thing 36 times.  #twitterblackout
54,VickiStraight,2021-08-30 21:23:59+00:00,en,0,Twitter for iPhone,"6:00-6:15 PST Twitter blackout for me here in CA. Prayer for those in Afghanistan who were left behind. 💔
#TwitterBlackout"
55,slmetheny,2021-08-23 14:57:55+00:00,en,0,Twitter for Android,"I noticed this tweet was A / I generated.

Thanks.

Or

I had my first #TwitterBlackOut

Sorry.

."
56,Matt_Fleming321,2021-08-07 22:53:05+00:00,en,3,Twitter for Android,"Save lives.
#TwitterBlackout https://t.co/YkOkeAFGjb"
57,cghueyf83,2021-07-12 08:40:46+00:00,en,0,Twitter for Android,@DJSpoony Only way social media will learn is by hitting them where it hurts in the pocket... it's the ONLY language they understand #twitterblackout
58,Jared_Hatch,2021-06-23 05:39:00+00:00,en,0,TweetDeck,"The Indian government needs Twitter to spread coordinated misinformation campaigns. And Twitter needs the people of India to grow its business. What happens now? 
https://t.co/Ik88X6hRWj #internetfreedom #twittershutdown #democracy #FreedomofSpeech #twitterblackout #India #Delhi"
59,Kiranmkhule1,2021-06-05 19:37:07+00:00,en,0,Twitter for Android,"They are posting blackout photos on Twitter and Instagram for solidarity and safety. The hashtag #blackout or #twitterblackout and a black square in place of a profile photo are often accompanied by the hashtags ,ImStillWithHer and other variations of these sentiments."
60,Kiranmkhule1,2021-06-05 19:36:25+00:00,en,0,Twitter for Android,@elonmusk They are posting blackout photos on Twitter and Instagram for solidarity and safety. The hashtag #blackout or #twitterblackout and a black square in place of a profile photo are often accompanied by the hashtags  #ImStillWithHer and other variations of these sentiments.
61,Kiranmkhule1,2021-06-05 19:34:53+00:00,en,0,Twitter for Android,@elonmusk They are posting blackout photos on Twitter and Instagram for solidarity and safety. The hashtag #blackout or #twitterblackout and a black square in place of a profile photo are often accompanied by the hashtags  #ImStillWithHer and other variations of these sentiments.bitcoin
62,AmerlingAlice,2021-05-29 23:11:34+00:00,en,0,Twitter Web App,"MONTE. Fernanda Montenegro was born in 29. That's why your fake baby's name is Monte? She Declaimed SOME Antônio Vieira's sermons at 2014 Bienal. The RUM Diary happens in 1958.: ""Sí, aqui News"" #quote. (RUM is Book 45 of the year, TRUMP) In 1959, Garbo was 54. #TwitterBLACKOUT."
63,Baldprivilege,2021-05-13 20:57:16+00:00,en,4,Twitter for Android,@theunicorndaddy @LacyBelle827 Is this a #TwitterBlackout?
64,tmystmos1,2021-05-02 23:32:39+00:00,en,0,Twitter for Android,"OMG finally back on twitter .. after my app was dead for daaaaays.
I'm so sorry 😞

#whatdidimiss #twitteroutage #updatetime #twitterblackout"
65,LoadedMagNUFC,2021-04-30 13:58:49+00:00,en,0,Twitter for iPhone,#NoRoomForRacism #socialmediablackout @LoadedHQ1 will be back next week folks. #twitterblackout https://t.co/VKGGtNk5AY
66,aemmarose,2021-04-18 20:20:14+00:00,en,6,Twitter for iPhone,#MotherOfGod I’m so busy prepping for my week ahead I’ve totally lost track of time ..... no spoilers #lineofdutyday #LineOfDuty I’m 20 mins behind ! #TwitterBlackout 🤣
67,mahnoorth,2021-04-17 07:43:54+00:00,en,0,Twitter Web App,"You don't truly appreciate something till it's taken away from you, do you? #TwitterDown #TwitterBlackout"
68,mahnoorth,2021-04-17 00:51:19+00:00,en,0,Twitter Web App,You don't truly appreciate something till it's gone. #TwitterBlackout
69,yungbakuheaux,2021-04-17 00:28:06+00:00,en,20,Twitter for iPhone,I THOUGHT THEY GOT ME #TwitterBlackout https://t.co/VLEgRSAUB3
70,Browyonce,2021-02-25 21:19:32+00:00,en,0,Twitter Web App,Only way to get twitter to rethink this is we blackout on twitter for like a week lol. #TWITTERBLACKOUT
71,TruthQuest20,2021-02-16 08:24:37+00:00,en,0,Twitter for iPad,"Kill Twitter.
That’s it. That’s the ‘tweet’.
#TwitterCensorship
#TwitterIsOverParty
#TwitterBan
#TwitterBlackout
#Twitter"
72,TruthQuest20,2021-02-04 18:24:12+00:00,en,0,Twitter for iPad,"@laurenboebert @IlhanMN Likes being retracted by Twitter
I liked after it was ‘10’ and when I pressed it, it just blinked to 11 and came back to 10 in less than a microsecond.
#Shadowbanning
 #TwitterCensorship
#TwitterBlackout
#BigTechCensorship
#BigTech
#Censorship
It’s time to make legislation to sue"
73,Bnuldun,2021-01-20 17:21:33+00:00,en,3,Twitter Web App,"I can finally, after 4 annoyingly long years, end my #TwitterBlackout and reintroduce a profile picture &amp; cover photo. #InaugurationDay"
74,the505sw,2021-01-15 08:15:04+00:00,en,3,Twitter Web App,"Twitter stock continues to plummet. The mass exodus planned for 1/20/21 could destroy @jack. Let's make sure that happens! #killtwitter #punishtwitter #twitterblackout 
On Parler: @the505sw I FBAP #MAGA"
75,_PeppyD_,2021-01-12 01:21:57+00:00,en,0,Twitter for iPhone,When do we start #TwitterBlackOut ?
76,USN_4_45,2021-01-11 20:23:37+00:00,en,0,Twitter Web App,"#TwitterBlackout 01/20/2021 #PatriotsUnite Let's get behind a nationwide, coordinated lights out of @Twitter.  We all pull the plug together. Pass it on.

LIVE UPDATES: Trump banned by Twitter, yet 'Hang Mike Pence' trends https://t.co/IcVowzWAuJ #FoxNews"
77,USN_4_45,2021-01-11 16:44:39+00:00,en,1,Twitter Web App,"Hey @jack this is just the beginning.  #TwitterBlackout 01/20/2021 
Pass it on. #PatriotsUnited #WeWillNotBeSilenced 

Twitter shares sink after Trump's account deleted https://t.co/65eEj8uBnf #FoxBusiness"
78,USN_4_45,2021-01-11 15:26:46+00:00,en,0,Twitter Web App,"We need a worldwide coordinated #TwitterBlackout.  Need high profile accounts to coordinate. I suggest on 01/20/2021.  Pass it on.

Twitter Shares Fall 7% Following Permanent Trump Ban | https://t.co/VUwmTGalup https://t.co/MlgK6uGHmM via @Newsmax"
79,kisan_farmer,2021-01-10 10:14:13+00:00,en,0,Twitter for Android,"@Being_Humor She sides Pakistan. Looking at #Pakistan's condition Jack's future is but obvious. Today there is #pakistanblackout 
One day there will be #Twitterblackout 😁"
80,_PeppyD_,2021-01-08 23:44:01+00:00,en,0,Twitter for iPhone,"🖕🏻TWITTER AND @JACK !!
You can find me on Parlor!!

#TwitterBlackout #FacebookDeleted"
81,SpecificityA,2021-01-07 00:34:26+00:00,en,0,Twitter for Android,Twitter Blackout until Trump is permanently banned from the app? #TwitterBlackout #deletehisaccount #DeleteTrumpsTwitter #Deactivate
82,Ethericroads,2020-12-12 17:58:14+00:00,en,0,Twitter for iPhone,"@gatewaypundit We should have a Twitter black out day!  All of us disappear, one day! #twitterblackout"
83,bshep92022,2020-11-29 02:25:36+00:00,en,1,Twitter for Android,"@KeithOlbermann @realDonaldTrump @Twitter @jack Time for a massive twitter Blackout.  If they will not take down Trump, we must take them down.  #wakeupjack #twitterblackout"
84,Cheyene1968,2020-11-28 01:21:15+00:00,en,0,Twitter Web App,See you only @Parler until December 5th.  Call for an @Twitter #TwitterBlackout until 12/05/20. They’re not the only ones who can censor. #StartingNow.
85,ladypangeth,2020-11-25 13:59:01+00:00,en,0,Twitter for iPhone,Sick and tired of #censorship #TwitterBlackout
86,ForbiddenLeaf,2020-11-21 12:26:27+00:00,en,1,Twitter for Android,#TwitterBlackOut we see you evil ones 🙏❤️🙏 https://t.co/RX9Re1Icv6
87,Iesu_Mawr,2020-11-16 11:07:41+00:00,en,0,Twitter Web App,"@murray_nyc @realDonaldTrump a #twitterblackout  with everyone turning their back on the site might help them consider banning him. Hit them where the money is with us the people! 

#deactivatetrumpNOW"
88,Iesu_Mawr,2020-11-16 10:54:57+00:00,en,0,Twitter Web App,@HKrassenstein @realDonaldTrump He is a cult leader @Twittersupport will have blood on their hands if they do not #deactivatetrumpNOW   We should consider hitting them where the money is and evacuate twitter with a world wide  #TwitterBlackout
89,Iesu_Mawr,2020-11-16 10:38:09+00:00,en,0,Twitter Web App,"@realDonaldTrump What are you waiting for #DeativateTrumpNow  @TwitterSupport   He's a cult leader nurturing violence on the street from those he told to ""stand by""  Do we all have to turn our backs on you? hit you where the money is with a #TwitterBlackOut ?  
Ya gonna have blood on your hands"
90,Iesu_Mawr,2020-11-15 17:36:45+00:00,en,2,Twitter Web App,"@Misterie113 @MeidasTouch @jack @Twitter @TwitterSafety @POTUS He's bringing attention to twitter Its all they care about a #TwitterBlackOut with us all turning off  will speak loudest right now. 

#DeactivateTrump"
91,Iesu_Mawr,2020-11-15 17:34:40+00:00,en,0,Twitter Web App,"@HKrassenstein Maybe a world wide #TwitterBlackOut will help Twitter reconsider it's platforming of  @realDonaldTrump  who is evidently using their site to spread lies and nurture civil war  Silence on twitter will soon have them listening 

#DeactivateTrump"
92,TeeDotYankee,2020-11-12 23:22:21+00:00,en,1,Twitter for iPhone,"Oh no I came here for Tiger Woods tweets and it went sideways fast. I forgot about fights and one was spoiled already sooooo......

#TwitterBlackout"
93,djstevietea,2020-11-12 17:42:19+00:00,en,4,Twitter for iPhone,"@APFactCheck We know it’s all bullshit there was fraud and Twitter is being unlawful in censoring and putting warnings on everything ,they will be held accountable. #twitterblackout #twittertakedown"
94,The_Ngozi,2020-11-07 23:03:12+00:00,en,6,Twitter for Android,"@ayomiarowojolu @_Kelvinee_ @oloye__ I mean, #NotMyPresident trended for days. #ImStillWithHer, #TwitterBlackout, #ResistTrump, etc.

Nigerians don't have any intelligent reason for hating the guy. Although, Feminists generally, don't like him cause he's misogynist. Regardless, Trump did good as President."
95,inmeasententia,2020-11-03 02:36:07+00:00,en,2,Twitter Web App,"I’m considering a #TwitterBlackout tomorrow, but I'm not sure that I have the #Willpower

I’m not on #Facebook so that isn’t a problem.
Anyone else planning to avoid the #socialmedia noise  tomorrow?  
* @maddow doesn’t  count
#VOTE
#VoteBlueToEndTheNightmare 
#BidenHarris2020 https://t.co/0zNHPubBU2"
96,jroon58,2020-10-28 19:12:05+00:00,en,0,Twitter for iPhone,Twitter Bias evident at Senate hearing #TwitterCEOPerjury #TwitterBias #TwitterBlackout4Biden #TwitterBlackout
97,jroon58,2020-10-28 19:10:03+00:00,en,0,Twitter for iPhone,The media bias is so transparent it is sickening. They are simply not doing the jobs of journalists and are partisan advocates. #MediaBias #TwitterBias #MediaBlackout #MediaBlackout4Biden #MediaCensorship #TwitterCensorship #TwitterBlackout4Biden #TwitterBlackout
98,jroon58,2020-10-26 16:08:06+00:00,en,1,Twitter for iPhone,I wonder whether Twitter will censor this!?! #TwitterBias #TwitterCensorship #TwitterBlackout #TwitterBlackout4Biden #MediaBias #MediaBlackout #MediaBlackout4Biden #CorruptMedia #MediaBias
99,jroon58,2020-10-25 21:50:31+00:00,en,0,Twitter for iPhone,"Actually, not true. A pardon removes the conviction from his record. Just disinformation based on sour grapes #TwitterBias #CorruptTwitter #MediaBias #MediaBlackout4Biden #MediaBlackout #TwitterBlackout"
100,TournantInc,2020-10-20 17:35:40+00:00,en,0,Twitter Web App,#TwitterCensorship #TwitterBlackout continues for #NewYorkPost No #FreedomOfSpeech here @ByronYork
101,MaIkeResists,2020-10-17 00:30:54+00:00,en,0,Twitter for iPad,I #BlameTrump for #Violence  #SystemicRacism #InAction #SelfServing #SCOTUSSham #Hatred #Bigotry #Evil and the #TwitterBlackOut #BlameTrump let’s keep #BlameTrump trending 1st
102,MaIkeResists,2020-10-17 00:28:40+00:00,en,0,Twitter for iPad,I #BlameTrump for #Violence  #SystemicRacism #InAction #SelfServing #SCOTUSSham #Hatred #Bigotry #Evil and the #TwitterBlackOut #BlameTrump let’s keep #BlameTrump tending #1...
103,Rucksackwriter,2020-10-16 19:27:03+00:00,en,0,Twitter for iPhone,"As usual everyone is like 'Twitter went down' and I'm like... 'what's that now?' 
#twitterblackout #lostinagoodbook #amreading"
104,1Chance2020,2020-10-16 02:41:42+00:00,en,3,Twitter for iPhone,"A Day Of Blackouts 2 #TwitterBlackout #NBCBlackout #BidenTownHallOnABC #Election2020

@hethrobryryhale
@samicat1982
@jwkwcom
@lunaticopresid1
@LCPEmerald
@RiseUP_Bruce
@MarilynCapps
@ParisRoseCara
@Meidas_Sammi
@Chica_LeoLatina
@AnnieGabstonH
@LVlovesHaven https://t.co/zJ0XOAPbsC"
105,1Chance2020,2020-10-16 02:29:23+00:00,en,7,Twitter for iPhone,"A Day Of Blackouts! #TwitterBlackout #NBCBlackout #BidenTownHallOnABC #Election2020 

@hethrobryryhale
@samicat1982
@jwkwcom
@lunaticopresid1
@LCPEmerald
@RiseUP_Bruce
@MarilynCapps
@ParisRoseCara
@Meidas_Sammi
@Chica_LeoLatina
@AnnieGabstonH
@LVlovesHaven https://t.co/c9VSSAOGN8"
106,bammcguinness,2020-10-16 02:16:26+00:00,en,1,Twitter for Android,I'll never remember that 4 hour period where I had to keep my thoughts to myself #twitterblackout
107,uberg00ber,2020-10-16 02:03:21+00:00,en,1,Twitter Web App,so...I love that there's always twitter buzz when other social media platforms go down...yet when twitter itself goes out *silence* LOL #twitterblackout
108,Dragonsoul9Fire,2020-10-16 01:31:59+00:00,en,12,Twitter for iPhone,"The whole #TwitterBlackout kind of show why Technology is not reliable

Imagine being plugged to it 😒"
109,DaveMunrosCat,2020-10-16 01:22:21+00:00,en,1,Twitter Web App,@NatalieLanovill Twitter is testing their #TwitterBlackOut
110,BeautyNtheChic,2020-10-16 01:08:50+00:00,en,0,Twitter for iPhone,...is this still off? #TwitterBlackout
111,Juicetruck2,2020-10-16 00:27:45+00:00,en,0,Twitter for Android,Testing? #TwitterBlackout
112,bismarckerisah,2020-10-16 00:25:35+00:00,en,5,Twitter for iPhone,"Let me hope Twitter was working on the big problems people are facing on this app or else they will have to explain why they turned off their server for 3  hours without notice only to waste time 🙄🙄😢
#TwitterBlackOut"
113,em_nizzy,2020-10-15 23:24:35+00:00,en,1,Twitter for Android,#TwitterBlackOut always the worst 🤧
114,leovanipayseur,2020-10-15 23:15:06+00:00,en,2,Twitter for iPhone,"Massive Twitter blackout / outage.  
#TwitterBlackout #TwitterDown #TwitterOutage"
115,TheFakestAlfred,2020-10-15 23:14:46+00:00,en,5,Twitter for Android,"How was the #twitterblackout 😭😂

Maybe they changed their censorship goals against Conservatives now https://t.co/aQ49AL2WXH"
116,leovanipayseur,2020-10-15 23:11:00+00:00,en,0,Twitter Web App,"Massive Twitter blackout / outage.  
#TwitterBlackout #TwitterOutage #TwitterDown"
117,leovanipayseur,2020-10-15 23:07:30+00:00,en,0,Twitter for iPhone,"Massive Twitter blackout / outage.  
#TwitterBlackout #TwitterDown #TwitterOutage"
118,ThePeruvianKing,2020-10-15 23:03:43+00:00,en,0,Twitter for iPhone,Annnnnd we’re back! Boy that was the scariest hour of my life lmao #twitterBlackout
119,Lucy88837154,2020-10-15 21:32:41+00:00,en,0,Twitter Web App,"@scrowder #TwitterBlackout October 20, 2020 the day Amy Barrett is confirmed."
120,Lucy88837154,2020-10-15 21:32:15+00:00,en,0,Twitter Web App,"@PressSec #TwitterBlackout October 20, 2020 the day Amy Barrett is confirmed."
121,SandieBellz,2020-10-15 17:01:50+00:00,en,0,Twitter for iPhone,@dcexaminer @TheMorningSpew2 @PressSec @Twitter Stand tough.  Fck them #TwitterCensorship #twitterblackout
122,tomjaycox,2020-10-15 16:14:27+00:00,en,0,Twitter Web App,I would not to be opposed to 'Turning OFF Twitter' until after the election. #TwitterBlackout
123,MORDE110,2020-10-07 03:23:09+00:00,en,1,Twitter for Android,"@MysterySolvent Not likely, #Twitterblackout"
124,TeeDotYankee,2020-09-26 00:06:31+00:00,en,0,Twitter for iPhone,"Blackout paused: 

Stay retired, you are so lost @TheNotoriousMMA 

So many tweets, sooooo many violations....

Manny will take it a step further than Floyd did v you 

#TwitterBlackout continues........."
125,TeeDotYankee,2020-09-25 12:24:59+00:00,en,0,Twitter for iPhone,Extreme #TwitterBlackout 😢
126,picucat,2020-09-23 23:39:53+00:00,en,0,Twitter for iPhone,Patiently waiting for #twitter to return my account to the way it was.... I mean had they accidentally suspended Donald trump? #twitterblackout #TwitterDown
127,sanitycheque,2020-09-21 00:36:32+00:00,en,0,Twitter for iPhone,"Hey .@jack. Have you thought about pulling the plug on Twitter until November 3rd? You know, just go black for a while?
#SweetRelief #WorthItToBugTrump
#TwitterBlackout"
128,TeeDotYankee,2020-08-23 20:24:34+00:00,en,0,Twitter for Android,"The ""Misfit Lg"" (free and fun) has two more spots before a 8ET Draft later tonight. Search and Join... Take yo L against the West Alberta Pirates 😉 🏈 #TwitterBlackout #FantasyFootball https://t.co/onoldPk0Im"
129,LoveSetMatch_,2020-08-11 20:04:42+00:00,en,3,Twitter Web App,thank you for retweeting this and telling everyone it's all a twitter mistake.  #2020sucks #twitterblackout #restoremyfollows
130,mrsarcasticass1,2020-07-27 12:28:23+00:00,en,0,Twitter for iPhone,Starting at 9am EST I will be joining the worldwide #TwitterBoycott of @TwitterSupport @Twitter for 48 straight hours. I’ve been saying this for a while. Twitter’s a cesspool &amp; has engaged in double standards for way too long #NoSafeSpaceForJewHate #TwitterBlackout #DefundTwitter
131,aphiwepicane,2020-07-25 19:39:59+00:00,en,0,Twitter for Android,Sometimes we wana follow back but #Twitterblackout https://t.co/3SllTBfQ4t
