,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,Magamagda1,2022-10-30 04:54:50+00:00,0,Twitter Web App,"I’ve only been on Twitter since 2021. I’ve struggled to get many follows at all. I assumed because I’m 100 political focus in the platform, and the leftist mind monitors kept me from being seen or followed. I’ve gained 31 followers in 2 days . I wonder why? #welcomemusk"
1,LostLarry1,2022-10-28 20:05:31+00:00,2,Twitter for iPhone,The purpose of most leftist troll farms is to create an environment where they can make you say something they can report to the “hall monitors” and have you suspended. It’s a great day #welcomemusk
2,DiegoPaladino4,2022-10-28 19:25:08+00:00,1,Twitter for Android,"Literal 
#ELONMUSK #welcomemusk #musktwitter https://t.co/D2rDy4r7hv"
3,wheelieweather,2022-10-28 02:32:34+00:00,0,Twitter for iPhone,@elonmusk had a busy first day in office 4 top exec’s gone from the Twit! #chieftwit #ChiefTwitMusk #elonmusktwitter #welcomemusk
4,ndzie_eric,2022-04-26 05:09:43+00:00,2,Twitter for Android,"Welcome to you 
@elonmusk ! i wish you the best in your New challenge 
#tweeter #Cameroon #welcomeMusk"
5,meenalj189,2022-04-26 02:15:53+00:00,1,Twitter for iPhone,End of #FakeModiBots #WelcomeMusk ! @elonmusk the future of humanity!! #Bestest https://t.co/RhogejZ0XD
6,JoshTheOrdinary,2022-04-25 23:36:50+00:00,0,Twitter Web App,"Wow. As Elon once recently said, ""The most entertaining outcome is the most likely"" 
I'm here for it lets goo!🍿😄
#WelcomeMusk 
https://t.co/WUnFw28bjg"
7,BeardyClam,2022-04-25 18:42:17+00:00,4,Twitter for iPhone,"Twitter’s new multi-billion signing @elonmusk brings a track record of massive firsts and big wins. He has his critics, some say he’s just another “billionaire elite”. 

Me, I like rockets, space stuff and freedom so happy to see him wearing the captain’s armband.

#WelcomeMusk"
